E_cell=-3.00 Omc=-0.00 Omd=0.50 Ov=0.03  (0.10-0.10-0.30)

E_cell=-3.01 Omc=0.02 Omd=0.50 Ov=0.06  (0.10-0.10-0.45)

E_cell=nan Omc=0.02 Omd=0.50 Ov=0.09  (0.10-0.10-0.60)

E_cell=-3.02 Omc=0.03 Omd=0.48 Ov=0.12  (0.10-0.10-0.75)

E_cell=-3.02 Omc=0.03 Omd=0.48 Ov=0.16  (0.10-0.10-0.90)

E_cell=-3.03 Omc=0.03 Omd=0.44 Ov=0.20  (0.10-0.10-1.05)

E_cell=-3.02 Omc=0.04 Omd=0.42 Ov=0.27  (0.10-0.10-1.20)

E_cell=-3.02 Omc=0.05 Omd=0.36 Ov=0.30  (0.10-0.10-1.35)

E_cell=-3.01 Omc=0.03 Omd=0.50 Ov=0.04  (0.10-0.25-0.30)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.06  (0.10-0.25-0.45)

E_cell=-3.02 Omc=0.04 Omd=0.50 Ov=0.09  (0.10-0.25-0.60)

E_cell=-3.02 Omc=0.04 Omd=0.50 Ov=0.12  (0.10-0.25-0.75)

E_cell=nan Omc=0.05 Omd=0.46 Ov=0.17  (0.10-0.25-0.90)

E_cell=-3.03 Omc=0.05 Omd=0.48 Ov=0.20  (0.10-0.25-1.05)

E_cell=-3.03 Omc=0.05 Omd=0.43 Ov=0.24  (0.10-0.25-1.20)

E_cell=-3.01 Omc=0.07 Omd=0.41 Ov=0.31  (0.10-0.25-1.35)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.04  (0.10-0.40-0.30)

E_cell=-3.01 Omc=0.04 Omd=0.50 Ov=0.06  (0.10-0.40-0.45)

E_cell=-3.03 Omc=0.05 Omd=0.50 Ov=0.09  (0.10-0.40-0.60)

E_cell=nan Omc=0.06 Omd=0.49 Ov=0.12  (0.10-0.40-0.75)

E_cell=nan Omc=0.06 Omd=0.45 Ov=0.18  (0.10-0.40-0.90)

E_cell=nan Omc=0.08 Omd=0.47 Ov=0.20  (0.10-0.40-1.05)

E_cell=nan Omc=0.08 Omd=0.44 Ov=0.24  (0.10-0.40-1.20)

E_cell=-3.02 Omc=0.08 Omd=0.44 Ov=0.29  (0.10-0.40-1.35)

E_cell=-3.01 Omc=0.07 Omd=0.50 Ov=0.04  (0.10-0.55-0.30)

E_cell=-3.02 Omc=0.08 Omd=0.50 Ov=0.06  (0.10-0.55-0.45)

E_cell=-3.02 Omc=0.08 Omd=0.50 Ov=0.09  (0.10-0.55-0.60)

E_cell=-3.02 Omc=0.07 Omd=0.50 Ov=0.12  (0.10-0.55-0.75)

E_cell=-3.03 Omc=0.08 Omd=0.48 Ov=0.16  (0.10-0.55-0.90)

E_cell=nan Omc=0.08 Omd=0.48 Ov=0.20  (0.10-0.55-1.05)

E_cell=-3.02 Omc=0.10 Omd=0.47 Ov=0.24  (0.10-0.55-1.20)

E_cell=nan Omc=0.11 Omd=0.42 Ov=0.29  (0.10-0.55-1.35)

E_cell=-3.01 Omc=0.07 Omd=0.50 Ov=0.04  (0.10-0.70-0.30)

E_cell=-3.01 Omc=0.08 Omd=0.50 Ov=0.06  (0.10-0.70-0.45)

E_cell=-3.03 Omc=0.08 Omd=0.49 Ov=0.10  (0.10-0.70-0.60)

E_cell=-3.02 Omc=0.09 Omd=0.49 Ov=0.13  (0.10-0.70-0.75)

