E_cell=-5.83 Omc=0.38 Omd=0.43 Ov=4.78  (0.60-0.60-1.00)

E_cell=-3.96 Omc=0.41 Omd=0.50 Ov=0.91  (0.60-0.80-0.20)

E_cell=-4.24 Omc=0.41 Omd=0.50 Ov=1.82  (0.60-0.80-0.40)

E_cell=-4.72 Omc=0.40 Omd=0.49 Ov=2.71  (0.60-0.80-0.60)

E_cell=17057715477.24 Omc=0.41 Omd=0.47 Ov=3.64  (0.60-0.80-0.80)

E_cell=nan Omc=0.40 Omd=0.45 Ov=4.42  (0.60-0.80-1.00)

E_cell=-3.93 Omc=0.43 Omd=0.50 Ov=0.86  (0.60-1.00-0.20)

E_cell=-4.11 Omc=0.43 Omd=0.50 Ov=1.68  (0.60-1.00-0.40)

E_cell=-4.48 Omc=0.43 Omd=0.49 Ov=2.52  (0.60-1.00-0.60)

E_cell=-4.89 Omc=0.43 Omd=0.48 Ov=3.34  (0.60-1.00-0.80)

E_cell=-5.34 Omc=0.41 Omd=0.46 Ov=4.08  (0.60-1.00-1.00)

E_cell=-3.84 Omc=0.21 Omd=0.50 Ov=0.82  (0.80-0.20-0.20)

E_cell=-4.30 Omc=0.25 Omd=0.50 Ov=1.80  (0.80-0.20-0.40)

E_cell=-4.96 Omc=0.30 Omd=0.48 Ov=2.95  (0.80-0.20-0.60)

E_cell=-5.63 Omc=0.33 Omd=0.45 Ov=4.09  (0.80-0.20-0.80)

E_cell=-6.07 Omc=0.32 Omd=0.42 Ov=4.92  (0.80-0.20-1.00)

E_cell=nan Omc=0.31 Omd=0.50 Ov=0.88  (0.80-0.40-0.20)

E_cell=-4.40 Omc=0.33 Omd=0.50 Ov=1.82  (0.80-0.40-0.40)

E_cell=-4.96 Omc=0.36 Omd=0.48 Ov=2.88  (0.80-0.40-0.60)

E_cell=nan Omc=0.36 Omd=0.46 Ov=3.84  (0.80-0.40-0.80)

